model name, synchronous DC, asynchronous DC, synchronous DC (sourceless), asynchronous DC (sourceless)
Differentiation of T lymphocytes,0.98059,0.9833300000000003,0.7665376653766539,0.8217982179821799
EGFR & ErbB Signaling,0.81285,0.8577603457936446,0.7790187954122381,0.8324526111411356
FA BRCA pathway,1.0143,1.021432571908629,1.0218726247149659,1.0231227747329679
FGF pathway of Drosophila Signalling Pathways,0.9785,0.9780458287074544,0.7237768532223867,0.7350682081849821
Fanconi anemia and checkpoint recovery,0.97833,0.973987398739874,0.9795279527952796,0.9706170617061709
Glucose Repression Signaling 2009,0.79659,0.8702082311856472,0.7619747899159663,0.821858743497399
Guard Cell Abscisic Acid Signaling,0.93777,0.9615576984635082,0.7640510127531882,0.8091422855713928
HCC1954 Breast Cell Line Long-term ErbB Network,0.9643099999999999,0.9422390254148287,0.8259947798433952,0.8368151044531337
HCC1954 Breast Cell Line Short-term ErbB Network,0.78414,0.8483,0.42967296729672966,0.5865986598659866
HGF Signaling in Keratinocytes,0.9361200000000001,0.9570628251300521,0.904850485048505,0.9245024502450242
HH Pathway of Drosophila Signaling Pathways,0.9283699999999999,0.9516722675628099,0.5214421442144214,0.6232723272327232
HIV-1 interactions with T Cell Signalling Pathway,0.8770600000000001,0.8328028665225401,0.8544317727090835,0.8222889155662262
Human Gonadal Sex Determination,1.04897,1.045561366841005,1.0552216566496995,1.0555716671500144
IGVH mutations in chronic lymphocytic leukemia,0.96148,0.9671230408935328,0.7254225422542255,0.767096709670967
IL-1 Signaling,0.83749,0.884137434214476,0.8251060084806784,0.869009520761661
IL-6 Signalling,0.7494500000000001,0.8155045430893009,0.7346838735494196,0.8014705882352943
Influenza A Virus Replication Cycle,0.90066,0.9196922553600193,0.8521708683473386,0.8672368947579032
Iron acquisition and oxidative stress response in aspergillus fumigatus,1.03735,1.0597259725972599,1.0063000000000002,1.00694
Lac Operon,0.9974200000000001,1.0006600264010561,0.73627,0.7774300000000001
Lymphoid and myeloid cell specification and transdifferentiation,1.02662,1.0596759675967597,0.9983795948987246,1.039549887471868
Lymphopoiesis Regulatory Network,0.95001,0.9583408367849212,0.7661758232963867,0.7953663318794765
MAPK Cancer Cell Fate Network,1.00514,1.022079273294784,0.9577931172468988,0.9613745498199279
Mammalian Cell Cycle,0.8457399999999999,0.8829100000000001,0.6788803664109923,0.7204316129483883
Mammalian Cell Cycle 2006,1.01347,1.0674500000000002,0.9608196081960819,1.0044300443004428
Metabolic Interactions in the Gut Microbiome,1.0017,0.982559302372095,0.3927,0.5753799999999999
Neurotransmitter Signaling Pathway,0.98099,0.9787400000000002,0.9298015761891427,0.9063087570508461
Oxidative Stress Pathway,0.98393,1.0069302079062372,0.9579157915791581,0.9227722772277226
PC12 Cell Differentiation,0.9323100000000001,0.9081385575922517,0.9121415497254421,0.8804949039298254
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,0.96441,0.9783191327653107,0.8809609537526005,0.8849215874539925
Processing of Spz Network from the Drosophila Signaling Pathway,0.9460500000000001,0.9652244359097456,0.5447244724472446,0.6408140814081407
Regulation of the L-arabinose operon of Escherichia coli,1.03789,1.0193607744309774,0.6409964099640997,0.6908069080690806
SKBR3 Breast Cell Line Long-term ErbB Network,0.94582,0.9411399999999999,0.839339474500155,0.8510216941218831
SKBR3 Breast Cell Line Short-term ErbB Network,0.79079,0.85661,0.49039903990399036,0.6346434643464346
Senescence Associated Secretory Phenotype,0.9843899999999999,0.9932172869147656,0.9044117647058821,0.92124849939976
Septation Initiation Network,0.9014399999999999,0.9110711071107113,0.7405788694643357,0.7943053166379964
Signal Transduction in Fibroblasts,1.11777,1.129876627210054,1.0683405021506445,1.08779633890167
Signaling in Macrophage Activation,0.71131,0.8162760416666666,0.5827414417478649,0.7094595946459649
Stomatal Opening Model,1.17717,1.1358443377350935,0.8744798335467352,0.8341869398207428
T Cell Receptor Signaling,0.81997,0.8578031212484996,0.7948369021412849,0.8310686411847109
T cell differentiation,1.03141,1.018943599283864,0.8514755442663279,0.8758762762882889
T-Cell Signaling 2006,0.9857,0.9682700000000001,0.9387040630563948,0.923300058015084
T-LGL Survival Network 2008,0.92019,0.8939875950380152,0.8794217687074829,0.8721588635454182
T-LGL Survival Network 2011,0.88862,0.8857743097238894,0.864565826330532,0.8632252901160464
T-LGL Survival Network 2011 Reduced Network,1.01253,0.9228022802280229,1.012961296129613,0.9347134713471347
TOL Regulatory Network,0.93475,0.9668046887502002,0.19557346881625798,0.44036284354122496
Toll Pathway of Drosophila Signaling Pathway,1.0002799999999998,0.9994499449944996,0.8322383223832238,0.8188681886818868
Treatment of Castration-Resistant Prostate Cancer,0.99637,1.0018707482993199,0.6651498179781574,0.7003340400848103
Trichostrongylus retortaeformis,1.01171,1.0308412336493458,0.92879,0.9721500000000001
Tumour Cell Invasion and Migration,0.72217,0.9122700000000001,0.7005900590059007,0.87998799879988
VEGF Pathway of Drosophila Signaling Pathway,0.96038,0.9551855185518551,0.7147699999999999,0.71757
Wg Pathway of Drosophila Signalling Pathways,0.98028,0.9854794191767671,0.4646185847433897,0.5875235009400376
Yeast Apoptosis,0.7210399999999999,0.7813600704450849,0.43395358143257295,0.5553821528611443
